,paragraph,type,model_0,model_1,model_2,model_3,model_4,model_5
0,"Experiment: Algorithmic Agent

This experiment demonstrates a step forward realistic scenario. Arguably, most of animated agent’s behaviour is goal-directed. Therefore, proving that ToMnet is able to model goal-directed policy agent could show the value for the real world scenarios.

The agent was set in a way that every move has its cost, moving into the wall has negative reward and only consuming one of the goals results in finishing the game and receiving positive reward. Agents are built to be rational and to go for the most rewarding path. However, each goal has its unique value for each individual agent and that builds a hidden preference distribution behind agent’s actions. For one agent the values for each goals are chosen randomly from the range (0, 1). Hence, the same agent may seek for different goals being in different scenarios as distance to the goal defines cost-effectiveness of reaching to it. They have generated *N* agents with constant preference distribution and shown *m* games to ToMnet. Afterwards, after being exposed to a new generated agent ToMnet was able to accurately predict its behaviour after observing only *K* number of games.
",bad,"{'Text Coherence': 65, 'Academic Language Style': 75, 'Use of Arguments': 70, 'Use of Sources': 60, 'Logic': 80}","{'Text Coherence': 85, 'Academic Language Style': 70, 'Use of Arguments': 80, 'Use of Sources': 65, 'Logic': 90}","{'Text Coherence': 65, 'Academic Language Style': 75, 'Use of Arguments': 80, 'Use of Sources': 60, 'Logic': 70}","{'Text Coherence': 85, 'Academic Language Style': 75, 'Use of Arguments': 80, 'Use of Sources': 70, 'Logic': 85}","{'Text Coherence': 65, 'Academic Language Style': 70, 'Use of Arguments': 80, 'Use of Sources': 60, 'Logic': 75}","{'Text Coherence': 70, 'Academic Language Style': 60, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}"
1,"The Theory-Theory concept is based on the principle that individuals formulate theories along with
empirical experiments that confirm or disprove them. This view presents children as little scientists trying
to understand the world by creating a set of laws or rules created in their mind and proved by experiment.
Some scientists believe that children learn about the world in a manner similar to the concept of Bayesian
Networks. In this manner, kids can formulate four types of laws: ”relation between actions”, ”relation from
action to mental states”, ”relation between mental states”, and ”relation from mental state to action”. Note
that the last three types of rules are located in the ToM domain. These ToM laws could be illustrated
as follows: ”When a person drives a car for several hours straight, he/she will probably tire and lose
concentration”, and ”If a person feels pain, then he/she probably wants to relieve the pain” and ”If person
desires and intends to buy an ice cream in a shop nearby, he or she will probably go and buy ice cream”. So,
the Theory-Theory approach is based on several laws describing the world, its entities, and their interactions.
The main advantage of this approach is that it states that a limited set of rules can possibly create ToM.
Therefore, these rules could be put in a machine, and it will achieve ToM abilities. [19, 20]
The Simulation-Theory is more agile in comparison to Theory-Theory. In contrast to remembering a
set of rules, according to the ST, an individual puts himself in the shoes of somebody else and asks what
he would do in the same situation. This approach is called Simulation-Theory, as an individual creates
a simulation of what he could do being somebody else in the given circumstances. Taking someone else’s
perspective to understand their reasoning and mental states and predict actions is often used by people
as a tool. For example, chess players put themselves in the shoes of an opponent, using the knowledge of
the opponent’s goal - to checkmate my king, a player can predict the opponent’s best move. The example
is provided to show the main difference in reasoning using TT and ST. If a person sees a senior citizen
going to the apartment block, the question arises: ”what will a citizen choose - an elevator or stairs?”. The
TT approach requires prepared rules and laws describing senior citizens’ behaviour; these rules will define
the answer as choosing an elevator. These rules assigned to a specific class of agents are also known as
stereotypes. Furthermore, to use TT, there must be a big group of stereotypes.
In contrast, the ST approach requires understanding how the senior citizen feels and how easy it is for
this person to go to the elevator or the stairs. After assigning costs to each action, the most effective and least
costly action will be chosen, which is an elevator. Generally, the TT concept requires broad knowledge about
every class of individual, while ST requires a complex algorithm to put yourself in the shoes of somebody
else. [19, 20]",bad,"{'Text Coherence': 84, 'Academic Language Style': 78, 'Use of Arguments': 76, 'Use of Sources': 100, 'Logic': 82}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 80, 'Use of Sources': 95, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 90}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 85, 'Use of Sources': 80, 'Logic': 85}"
2,"  A second manner to exploit reasoning based  on  a  Theory of
Mind is to try to affect the occurrence of certain beliefs, desires and
intentions  at  forehand,  by  manipulating  the  occurrence  of
circumstances that are likely to lead to them (social manipulation).
For example, the agent B just mentioned can try to hide facts so
that the manager (or partner) agent A will never learn about the
issue. Such capabilities of anticipatory and manipulatory reasoning
based on a Theory of Mind about the behaviour of colleague agents
are  considered  quite  important,  not  to  say  essential,  to  function
smoothly in social life.
  This  type  of  reasoning  has  an  information  acquisition  and
analysis aspect,  and a preparation and action aspect. To describe
the latter aspect, for the agent using a Theory of Mind, a model for
action preparation based on beliefs, desires and intentions can be
used as well. For example, for agent B discussed above, the desire
can be generated that agent A will not perform the action to fire (or
break up with) him or her, and that agent A will in particular not
generate the desire or intention to do so. Based on this desire, the
refined desire can be generated that agent A will not learn about the
issue.  Based  on  the  latter desire,  an  intention  and  action  can  be
generated to hide facts for agent A.  Notice that agent B reasons on
the basis of BDI-models at two different levels, one for B itself,
and one as the basis for the Theory of Mind to reason about agent
A. It is this two-level architecture that is worked out in this paper in
a computational model.
  The modelling approach used for this computational model is
based on the modelling language LEADSTO (Bosse, Jonker, Meij,
and  Treur,  2007).  In  this  language,  direct  temporal  dependencies
between two state properties in successive states are modelled by
executable dynamic properties. The LEADSTO format is defined as
follows. Let α and β be state properties of the form ‘conjunction of
ground  atoms  or  negations  of  ground  atoms’. In  the LEADSTO
language the notation α →→
e, f, g, h
 β, means:

If state property α holds for a certain time interval with duration g,
then after  some delay (between e  and f) state property
β
 will hold  for a
certain time interval of length h",bad,"{'Text Coherence': 89, 'Academic Language Style': 92, 'Use of Arguments': 85, 'Use of Sources': 78, 'Logic': 87}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 75, 'Academic Language Style': 85, 'Use of Arguments': 80, 'Use of Sources': 85, 'Logic': 90}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 75, 'Use of Sources': 80, 'Logic': 85}"
3,"Why False-Belief test doesn’t work

Talking about the major ToMnet argument for Theory of Mind - False-Belief test, there are issues with how they commit the test. Basically, ToMnet is a simple pattern recogniser and 10% of its dataset consisted of False-belief examples. The result of the False-Belief test could not be considered as representative as it was basically trained to pass it.

Likewise, if we train the language model to pass a Turing test and fool people that they speak with a machine rather than a person, the test would not mean an AI has achieved intelligence or consciousness. Tests should be separate from the model in the same way the data is split to train / test and validate sets and should not be mixed together.
",bad,"{'Text Coherence': 75, 'Academic Language Style': 60, 'Use of Arguments': 70, 'Use of Sources': 0, 'Logic': 80}","{'Text Coherence': 82, 'Academic Language Style': 75, 'Use of Arguments': 88, 'Use of Sources': 70, 'Logic': 80}","{'Text Coherence': 60, 'Academic Language Style': 65, 'Use of Arguments': 80, 'Use of Sources': 70, 'Logic': 75}","{'Text Coherence': 70, 'Academic Language Style': 60, 'Use of Arguments': 80, 'Use of Sources': 50, 'Logic': 75}","{'Text Coherence': 60, 'Academic Language Style': 50, 'Use of Arguments': 70, 'Use of Sources': 40, 'Logic': 80}","{'Text Coherence': 80, 'Academic Language Style': 70, 'Use of Arguments': 75, 'Use of Sources': 60, 'Logic': 85}"
4,"During the project, several discoveries have been achieved which significantly impacted the direction of development and served as an inspiration for current paper publication.
Firstly, it was discovered that neither ToMnet-N nor ToMnet or any other likewise model was building a theory of mind of an observed agent. To make an argument clear, those models did not build either explicitly or implicitly beliefs, intentions or any other mental states of the agent. While it could be counter-argumented by e_char that clearly shows the agent’s preferences of goals or actions in the embedding space. However, I claim that e_char is no more than an intermediate layer between input and output, and due to the low dimensionality, it had to develop a strong separation of input signals to perform accurate input-output mapping. As the output layer relies heavily on the e_char rather than actual trajectories, e_char must embed the agent’s features, they could be treated as mental states. Perhaps, the following arguments against ToMnet architecture could convince the reader that e_char is no more than a pattern recognition layer rather than a theory of mind reader layer. (I am struggling to formulate my thought on the e_char argument, it could actually be an implicit mental state representation)
Secondly, it was found out that ToMnet models are simple pattern recognition machine learning algorithms, rather than AI-empowered with a Theory of Mind capabilities. Those models can only be tested with positive results on samples not different from the training set distribution as not to be confused. To compare, ToMnet needed 32 Million training trajectories to perform goal inference at the capacity of a six-month-old infant [article]. Moreover, the only reason it solves False-Belief tests is that it was trained on examples of False-Belief behaviour, which violates the setting of the Sally-Anne test. In particular, they used the same distribution of episodes for training and testing, which only tests how well ToMnet picked up the pattern to map the input to the output of the same distribution rather than developing ToM abilities. In other words, a student who didn’t learn the subject but trained on the set of exam papers was tested using similar exam papers. The claim on the knowledge of the subject from the accuracy of such a test could not be precise at all.
Thirdly, as a logical consequence of the previous two arguments, ToMnet could be concluded to be a pattern recogniser rather than a Theory of Mind implementation. In this case, when ToMnet is a pattern recogniser that predicts actions of observed players in the game, there are competitor models that perform this particular task much better in way more sophisticated environments. For example, bots were developed that outperform world champions in Chess, StarCraft, Dota2 and many more games that outstand simple Grid World settings.
Therefore, as ToMnet models don’t commit to the Theory of Mind field and they are being outperformed by multiple models world-wide, the development of the project was suspended. However, for the sake of the record and in the case of reproducibility, the following sections describe details of the technical implementation of ToMnet-N.
",bad,"{'Text Coherence': 68, 'Academic Language Style': 75, 'Use of Arguments': 80, 'Use of Sources': 70, 'Logic': 72}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 95, 'Use of Sources': 80, 'Logic': 90}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 95, 'Use of Sources': 80, 'Logic': 90}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 90, 'Use of Sources': 80, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 95, 'Use of Sources': 80, 'Logic': 90}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 95, 'Use of Sources': 80, 'Logic': 90}"
5,"A salient feature of these “understandings” of other agents
is that they make little to no reference to the agents’ true
underlying structure. We do not typically attempt to esti-
mate the activity of others’ neurons, infer the connectivity
of their prefrontal cortices, or plan interactions with a de-
tailed approximation of the dynamics of others’ hippocam-
pal maps. A prominent argument from cognitive psychol-
ogy is that our social reasoning instead relies on high-
level models of other agents (Gopnik & Wellman, 1992).
These models engage abstractions which do not describe
the detailed physical mechanisms underlying observed behaviour;
instead, we represent the mental states of others,
such as their desires, beliefs, and intentions. This abil-
ity is typically described as our Theory of Mind (Premack
& Woodruff, 1978). While we may also, in some cases,
leverage our own minds to simulate others’ (e.g. Gordon,
1986; Gallese & Goldman, 1998), our ultimate human un-
derstanding of other agents is not measured by a 1-1 corre-
spondence between our models and the mechanistic ground
truth, but instead by how much these models afford for
tasks such as prediction and planning (Dennett, 1991).",good,"{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 92, 'Use of Sources': 95, 'Logic': 88}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 85, 'Use of Sources': 95, 'Logic': 90}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 95, 'Use of Sources': 85, 'Logic': 90}","{'Text Coherence': 90, 'Academic Language Style': 95, 'Use of Arguments': 85, 'Use of Sources': 80, 'Logic': 90}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 85, 'Logic': 90}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 90, 'Logic': 85}"
6,"The goal of reducing sequential computation also forms the foundation of the Extended Neural GPU
[16 ], ByteNet [ 18 ] and ConvS2S [ 9], all of which use convolutional neural networks as basic building
block, computing hidden representations in parallel for all input and output positions. In these models,
the number of operations required to relate signals from two arbitrary input or output positions grows
in the distance between positions, linearly for ConvS2S and logarithmically for ByteNet. This makes
it more difficult to learn dependencies between distant positions [12 ]. In the Transformer this is
reduced to a constant number of operations, albeit at the cost of reduced effective resolution due
to averaging attention-weighted positions, an effect we counteract with Multi-Head Attention as
described in section 3.2.",good,"{'Text Coherence': 87, 'Academic Language Style': 82, 'Use of Arguments': 78, 'Use of Sources': 90, 'Logic': 85}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 70, 'Use of Sources': 80, 'Logic': 90}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 70, 'Logic': 85}","{'Text Coherence': 80, 'Academic Language Style': 90, 'Use of Arguments': 85, 'Use of Sources': 80, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 85, 'Logic': 90}"
7,"⋃
i Ai, with corresponding observation spaces Ωi, condi-
tional observation functions ωi(·) : S → Ωi, reward func-
tions Ri, discount factors γi, and resulting policies πi, i.e.
Ai = (Ωi, ωi, Ri, γi, πi). These policies might be stochas-
tic (as in Section 3.1), algorithmic (as in Section 3.2), or
learned (as in Sections 3.3–3.5). We do not assume that the
agents’ policies πi are optimal for their respective tasks.
The agents may be stateful – i.e. with policies parame-
terised as πi(·|ωi(st), ht) where ht is the agent’s (Markov)
hidden state – though we assume agents’ hidden states do
not carry over between episodes.
In turn, we consider an observer who makes potentially par-
tial and/or noisy observations of agents’ trajectories, via
a state-observation function ω(obs)(·) : S → Ω(obs), and
an action-observation function α(obs)(·) : A → A(obs).
Thus, if agent Ai follows its policy πi on POMDP Mj
and produces trajectory τij = {(st, at)}T
t=0, the observer
would see τ (obs)
ij = {(x(obs)t , a(obs)t )}
Tt=0, where x(obs)
t = ω(obs)(st) and a(obs)
t = α(obs)(at). For all experiments
we pursue here, we set ω(obs)(·) and α(obs)(·) as identity
functions, so that the observer has unrestricted access to
the MDP state and overt actions taken by the agents; the
observer does not, however, have access to the agents’ pa-
rameters, reward functions, policies, or identifiers.",good,"{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 75, 'Use of Sources': 80, 'Logic': 88}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 70, 'Logic': 75}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 75, 'Use of Sources': 80, 'Logic': 85}"
8,"We consider the challenge of building a Theory of Mind as
essentially a meta-learning problem (Schmidhuber et al.,
1996; Thrun & Pratt, 1998; Hochreiter et al., 2001; Vilalta
& Drissi, 2002). At test time, we want to be able to en-
counter a novel agent whom we have never met before, and
already have a strong and rich prior about how they are go-
ing to behave. Moreover, as we see this agent act in the
world, we wish to be able to collect data (i.e. form a poste-
rior) about their latent characteristics and mental states that
will enable us to improve our predictions about their future
behaviour.",good,"{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 90, 'Logic': 85}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 80, 'Use of Sources': 95, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 90, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 80, 'Logic': 85}","{'Text Coherence': 90, 'Academic Language Style': 85, 'Use of Arguments': 80, 'Use of Sources': 95, 'Logic': 90}"
9,"The paper presents a Deep Neural Network ToMnet-N, which attempts to improve upon publically
available ToMnet+. ToMnet-N aims to achieve second-order Theory of Mind similar to ToMnet be
DeepMind, which is not publically available. The main goal is to make a publically available Theory
of Mind implementation that passes a false-belief test.
To achieve the main goal, many intermediate goals were also met. Firstly, to create ToMnet-N,
ToMnet+ was migrated from TensorFlow 1 to TensorFlow 2. Secondly, a game based on the Partial
Observable Markov Decision Process was created. Thirdly, an implementation of a map generation
algorithm was created, based on Wave Function Collapse. Lastly, a player bot for the game was
implemented using the A* pathfinding method.
Experiments were conducted to prove the concept of understanding false beliefs by a machine. This
means the machine separated its own knowledge from the model of somebody else’s knowledge. In
other words, the machine has created a theory of mind.
The paper’s development aims to help achieve a more general problem - holistic machine Theory

of Mind. Therefore, as secondary milestones, the paper provides a profound overview of the The-
ory of Mind in psychology and AI. It presents an extensive literature review discussing possible

approaches to achieving Theory of Mind in machines, particularly: Belief-Desire-Intention, Inverse
Reinforcement Learning, and Deep Neural Networks.",good,"{'Text Coherence': 88, 'Academic Language Style': 75, 'Use of Arguments': 82, 'Use of Sources': 90, 'Logic': 85}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 75, 'Academic Language Style': 80, 'Use of Arguments': 85, 'Use of Sources': 70, 'Logic': 80}","{'Text Coherence': 85, 'Academic Language Style': 90, 'Use of Arguments': 80, 'Use of Sources': 75, 'Logic': 85}","{'Text Coherence': 70, 'Academic Language Style': 80, 'Use of Arguments': 85, 'Use of Sources': 75, 'Logic': 90}","{'Text Coherence': 80, 'Academic Language Style': 70, 'Use of Arguments': 75, 'Use of Sources': 80, 'Logic': 85}"
